Date,App,Usage (minutes),Notifications,Times Opened
13-02-2025,Instagram,129,24,57
14-02-2025,Instagram,79,30,53
15-02-2025,Instagram,134,33,17
16-02-2025,Instagram,165,25,50
17-02-2025,Instagram,131,22,45
18-02-2025,Instagram,109,28,39
19-02-2025,Instagram,249,35,67
20-02-2025,Instagram,39,21,29
21-02-2025,Instagram,31,18,24
22-02-2025,Instagram,49,20,31
13-02-2025,YouTube,34,10,20
14-02-2025,YouTube,37,12,18
15-02-2025,YouTube,201,50,80
16-02-2025,YouTube,99,45,70
17-02-2025,YouTube,108,30,55
18-02-2025,YouTube,49,20,28
19-02-2025,YouTube,45,19,25
20-02-2025,YouTube,76,25,40
21-02-2025,YouTube,38,12,22
22-02-2025,YouTube,54,15,30
13-02-2025,WhatsApp,33,50,80
14-02-2025,WhatsApp,27,40,65
15-02-2025,WhatsApp,17,35,55
16-02-2025,WhatsApp,16,32,50
17-02-2025,WhatsApp,25,40,65
18-02-2025,WhatsApp,31,45,70
19-02-2025,WhatsApp,28,42,60
20-02-2025,WhatsApp,56,55,85
21-02-2025,WhatsApp,45,48,75
22-02-2025,WhatsApp,28,38,55
13-02-2025,Chrome,5,15,30
14-02-2025,Chrome,9,18,35
15-02-2025,Chrome,9,20,40
16-02-2025,Chrome,9,22,42
17-02-2025,Chrome,45,28,50
18-02-2025,Chrome,6,18,30
19-02-2025,Chrome,35,25,45
20-02-2025,Chrome,74,30,60
21-02-2025,Chrome,55,28,50
22-02-2025,Chrome,65,32,55
